"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol"
"ENSG00000120071","ENSG00000268525",0.433970962779794,0,"CTB-59C6.3","KANSL1"
"ENSG00000147162","ENSG00000158669",0.39995534959311,0,"GPAT4","OGT"
"ENSG00000187778","ENSG00000263214",0.314576219092538,0,"ZNF205-AS1","MCRS1"
"ENSG00000187778","ENSG00000198783",0.397345825083301,0,"ZNF830","MCRS1"
"ENSG00000196363","ENSG00000213380",0.525866277103754,0,"COG8","WDR5"
"ENSG00000187778","ENSG00000196123",0.46348673167323,0,"KIAA0895L","MCRS1"
"ENSG00000187778","ENSG00000197451",0.396382920715407,0,"HNRNPAB","MCRS1"
"ENSG00000103510","ENSG00000008324",0.363854290862585,0,"SS18L2","KAT8"
"ENSG00000187778","ENSG00000173486",0.387066630335181,0,"FKBP2","MCRS1"
"ENSG00000147162","ENSG00000107147",0.406792828687555,0,"KCNT1","OGT"
"ENSG00000147162","ENSG00000171720",0.393190974935149,0,"HDAC3","OGT"
"ENSG00000196363","ENSG00000224051",0.489001402550331,0,"CPTP","WDR5"
"ENSG00000120071","ENSG00000134262",0.444561886489008,0,"AP4B1","KANSL1"
"ENSG00000187778","ENSG00000174791",0.36806632480071,0,"RIN1","MCRS1"
"ENSG00000187778","ENSG00000159199",0.563094597969851,0,"ATP5MC1","MCRS1"
"ENSG00000172534","ENSG00000103932",0.566178809690402,0,"RPAP1","HCFC1"
"ENSG00000196363","ENSG00000083814",0.355263950574041,0,"ZNF671","WDR5"
"ENSG00000147162","ENSG00000132128",0.399113299796991,0,"LRRC41","OGT"
"ENSG00000103510","ENSG00000178498",0.429003334522732,0,"DTX3","KAT8"
"ENSG00000103510","ENSG00000177169",0.393467369766347,0,"ULK1","KAT8"
"ENSG00000172534","ENSG00000114650",0.520513672452557,0,"SCAP","HCFC1"
"ENSG00000172534","ENSG00000101337",0.423192821271813,0.00186357091602041,"TM9SF4","HCFC1"
"ENSG00000187778","ENSG00000198746",0.527943582487508,0,"GPATCH3","MCRS1"
"ENSG00000187778","ENSG00000174775",0.366626570681969,0,"HRAS","MCRS1"
"ENSG00000196363","ENSG00000020256",0.454742209302485,0,"ZFP64","WDR5"
"ENSG00000196363","ENSG00000239959",0.348908332081864,0,"ENPP7P2","WDR5"
"ENSG00000187778","ENSG00000160113",0.350458427388339,0,"NR2F6","MCRS1"
"ENSG00000187778","ENSG00000147155",0.493066032923601,0,"EBP","MCRS1"
"ENSG00000172534","ENSG00000127948",0.370098753063174,0,"POR","HCFC1"
"ENSG00000187778","ENSG00000198720",0.460362804374569,1.66629157405396e-05,"ANKRD13B","MCRS1"
